cnnaffinity,Smiles,h,enamine_id,enamine_searched
-5.07074,[H]c1nc([H])c(-c2sc(N([H])C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c(=O)c2[H])c([H])c1[H],6,,False
-5.05871,[H]c1nc([H])c([C@@]2([H])C([H])([H])c3nn([H])c(-c4c([H])c([H])c(N([H])C(=O)C([H])([H])[H])c([H])c4[H])c3C2([H])[H])c([H])c1[H],6,,False
-5.06186,C1(=C(c2c(c(c(nc2[H])[H])[H])[H])C(N(c2nc3c(c(c(c(c3o2)[H])[H])[H])[H])C(C1([H])[H])([H])[H])([H])[H])[H],6,PV-002150991322,False
-5.01066,[H]c1nc([H])c(C2(N([H])c3c([H])c([H])c([N+](=O)[O-])c([H])c3[H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H],6,,False
-4.24382,[H]c1nc([H])c(C([H])([H])c2nnnn2N([H])C([H])([H])C2([H])C([H])([H])C2([H])[H])c([H])c1[H],6,,False
-5.27913,C(C(N(C(=O)N(C(c1c(c(c(c(c1I)[H])[H])[H])[H])([H])[H])[H])c1c(c(c(nc1[H])[H])[H])[H])([H])[H])([H])([H])[H],6,PV-006338875597,False
-4.79444,[H]c1nc([H])c(N2C([H])([H])[C@]3([H])N(S(=O)(=O)N(C([H])([H])[H])C([H])([H])[H])C([H])([H])[C@@]2([H])C3([H])[H])c([H])c1[H],6,,False
-5.08826,[H]C1=C(c2c([H])nc([H])c([H])c2[H])N([H])C(=S)N([H])[C@@]1([H])N(c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])[H],6,,False
-6.341,c1(c(nc(c(C(c2nn(c3c(c(c4c(c(c(c(c4c3[H])[H])[H])[H])[H])[H])[H])c(C(C(c3c(c(nc(n3)[H])[H])[H])([H])[H])([H])[H])n2)([H])[H])c1[H])[H])[H])[H],6,PV-004382588176,False
-4.41037,c1(c(nc(c(C(N(c2c(c(nc3c(c(c(c(c23)[H])[H])[H])[H])[H])[H])[H])([H])[H])c1[H])[H])[H])[H],6,Z1172240352,False
-6.75778,c1(c(nc(c(C(c2nn(c3c(c(c(c4nc(c(c(c34)[H])[H])[H])[H])[H])[H])c(C(C(c3c(c(nn3[H])[H])[H])([H])[H])([H])[H])n2)([H])[H])c1[H])[H])[H])[H],6,PV-004331097219,False
-6.16585,c1(c(nc(c(C(c2nn(c3c(c(c(c4nc(c(c(c34)[H])[H])[H])[H])[H])[H])c(C(C(c3c(n(nc3[H])[H])[H])([H])[H])([H])[H])n2)([H])[H])c1[H])[H])[H])[H],6,PV-006437871824,False
-5.6255,[H]c1nc([H])c([C@]2(C([H])([H])c3c([H])c([H])c([H])c([H])c3Cl)C([H])([H])[C@]3([H])C([H])([H])C([H])([H])[C@@]2([H])C3([H])[H])c([H])c1[H],6,,False
-6.69991,c1(c(nc(c(C(c2nn(c3c(c(c(c4c(c(c(c(c34)[H])[H])[H])[H])[H])[H])[H])c(C(C(c3c(c(nc(n3)[H])[H])[H])([H])[H])([H])[H])n2)([H])[H])c1[H])[H])[H])[H],6,PV-005736796697,False
-4.90574,[H]C(=C1C(C(=O)c2c([H])c([H])c(Cl)c([H])c2[H])=NC([H])([H])C1([H])[H])c1c([H])nc([H])c([H])c1[H],6,,False
-5.2637,[H]c1nc(C([H])([H])c2c([H])c([H])c([H])c([H])c2OC([H])([H])[H])sc1-c1c([H])nc([H])c([H])c1[H],6,,False
0.0,c1(c(nc(c(C(c2nn(c3c(c(c(c4nc(c(c(c34)[H])[H])[H])[H])[H])[H])c(C(c3c(n(c(c3[H])[H])[H])[H])([H])[H])n2)([H])[H])c1[H])[H])[H])[H],6,PV-005351839664,False
-6.86809,c1(c(nc(c(C(c2nn(c3c(c(c(c4nc(c(c(c34)[H])[H])[H])[H])[H])[H])c(C(C(c3c(n(c(n3)[H])[H])[H])([H])[H])([H])[H])n2)([H])[H])c1[H])[H])[H])[H],6,PV-006292760511,False
-6.7983,C(c1nn(c(C(C(c2nc(C(c3c(c(c(nc3[H])[H])[H])[H])([H])[H])nn2c2c(c(c(c3nc(c(c(c23)[H])[H])[H])[H])[H])[H])([H])[H])([H])[H])c1[H])[H])([H])([H])[H],6,PV-005651447892,False
-7.00166,C(n1c(c(c(c1C(C(c1nc(C(c2c(c(c(nc2[H])[H])[H])[H])([H])[H])nn1c1c(c(c(c2nc(c(c(c12)[H])[H])[H])[H])[H])[H])([H])[H])([H])[H])[H])[H])[H])([H])([H])[H],6,PV-006023948611,False
-4.64737,[H]c1nc([H])c(N([H])SC([H])([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H],6,,False
-5.65848,[H]c1nc([H])c(-n2c([H])c(-c3nc4c([H])c([H])c([H])c([H])c4c([H])c3[H])n([H])c2=S)c([H])c1[H],6,,False
-5.23247,[H]c1nc([H])c(N([H])C(=O)C(F)(F)c2c([H])c([H])c3c(c2[H])OC([H])([H])O3)c([H])c1[H],6,,False
-6.28131,c1(c(nc(c(C(c2nn(c3c(c(c(c4c3n(c(n4)[H])[H])[H])[H])[H])c(C(C(c3c(n(c(n3)[H])[H])[H])([H])[H])([H])[H])n2)([H])[H])c1[H])[H])[H])[H],6,PV-004231016808,False
