combo1,Smiles,h,enamine_id,enamine_searched
-0.7840451555677622,O=C(N(C(C(C(C(O[H])([H])[H])([H])[H])([H])[H])(c1c(c(c(nc1[H])[H])[H])[H])[H])[H])c1c(n(C2(C(C(C2([H])[H])([H])[H])([H])[H])[H])nc1[H])[H],6,Z5539018555,False
-0.3404624576823847,O=C(N(C(C(C(C(O[H])([H])[H])([H])[H])([H])[H])(c1c(c(c(nc1[H])[H])[H])[H])[H])[H])c1c(c(C2(C(C(C2([H])[H])([H])[H])([H])[H])[H])no1)[H],6,Z5539022696,False
-0.5527818029427216,O=C(N(C(C(C(C(O[H])([H])[H])([H])[H])([H])[H])(c1c(c(c(nc1[H])[H])[H])[H])[H])[H])c1nnc2C(C(C(C(n12)([H])[H])([H])[H])([H])[H])([H])[H],6,Z5539022575,False
-0.7773196764672103,O=C(N(C(C(C(C(O[H])([H])[H])([H])[H])([H])[H])(c1c(c(c(nc1[H])[H])[H])[H])[H])[H])c1c(sc2c1C(C(C(C2([H])[H])([H])[H])([H])[H])([H])[H])[H],6,Z5539006589,False
-0.94848634938811,O=C(N(C(C(C(C(O[H])([H])[H])([H])[H])([H])[H])(c1c(c(c(nc1[H])[H])[H])[H])[H])[H])c1c(oc2c1C(C(C(C2([H])[H])([H])[H])([H])[H])([H])[H])[H],6,Z5539020084,False
-0.33350507805955865,O=C(N(C(C(C(C(O[H])([H])[H])([H])[H])([H])[H])(c1c(c(c(nc1[H])[H])[H])[H])[H])[H])c1c(nc2C(OC(C(n12)([H])[H])([H])[H])([H])[H])[H],6,Z5539017043,False
-0.5973348299548373,O=C(N(C(C(C(C(O[H])([H])[H])([H])[H])([H])[H])(c1c(c(c(nc1[H])[H])[H])[H])[H])[H])c1c(nc2C(C(C(N(n12)[H])([H])[H])([H])[H])([H])[H])[H],6,Z5539023449,False
-1.3808751388343383,O=C(N(C(C(C(C(O[H])([H])[H])([H])[H])([H])[H])(c1c(c(c(nc1[H])[H])[H])[H])[H])[H])c1c2C(C(C(C(n2nc1[H])([H])[H])([H])[H])([H])[H])([H])[H],6,Z5539011698,False
-0.7837453316168417,c1(c(nc(c(C(N(c2c(c3nn(c(c3c(c2[H])[H])[H])[H])[H])[H])([H])[H])c1[H])[H])[H])[H],6,Z1127236494,False
-0.9696132622961888,C([C@](N(c1c(c(nc2c(c(nc(c12)[H])[H])[H])[H])[H])[H])(c1c(c(c(nc1[H])[H])[H])[H])[H])([H])([H])[H],6,PV-003078276020,False
